Country,WeightPerCountry,WeightEurope,Gender,Question
Germany,1.04,2.31,Woman,Strongly agree
USA,0.95,,Man,Strongly disagree
Australia,0.94,,Woman,Neither agree nor disagree
Poland,0.96,0.97,Man,Strongly agree
Australia,0.94,,Woman,Disagree
Italy,1,1.61,Woman,Agree
Australia,0.98,,Man,Neither agree nor disagree
Australia,1.22,,Man,Neither agree nor disagree
Netherlands,0.93,0.39,Woman,Neither agree nor disagree
Poland,1.03,1.04,Man,Strongly disagree
France,1.02,1.69,Man,Strongly disagree
Poland,1.11,1.12,Man,Strongly disagree
France,0.96,1.59,Woman,Disagree
Netherlands,0.97,0.4,Man,Disagree
USA,0.96,,Woman,Strongly agree
Netherlands,0.93,0.39,Woman,Strongly agree
Spain,1.02,1.24,Woman,Disagree
Belgium,0.96,0.26,Man,Neither agree nor disagree
Netherlands,0.96,0.4,Woman,Neither agree nor disagree
United Kingdom,0.94,1.48,Woman,Neither agree nor disagree
USA,1.01,,Man,Strongly disagree
Germany,0.87,1.93,Man,Agree
France,0.99,1.63,Man,Neither agree nor disagree
United Kingdom,0.98,1.53,Woman,Strongly disagree
France,0.97,1.6,Woman,Strongly agree
France,0.98,1.62,Woman,Agree
United Kingdom,0.98,1.53,Woman,Agree
Germany,1,2.21,Man,Disagree
Italy,0.99,1.61,Man,Agree
Italy,0.99,1.6,Man,Neither agree nor disagree
Spain,0.99,1.21,Man,Strongly agree
Poland,0.96,0.97,Woman,Agree
Italy,1.05,1.7,Woman,Strongly disagree
Belgium,1.01,0.27,Man,Neither agree nor disagree
Netherlands,1.05,0.44,Man,Agree
Belgium,0.95,0.26,Woman,Agree
USA,1.06,,Man,Neither agree nor disagree
Italy,0.98,1.58,Woman,Strongly disagree
Belgium,0.96,0.26,Woman,Disagree
United Kingdom,1.02,1.59,Man,Agree
Italy,1.02,1.64,Woman,Disagree
Spain,1.02,1.25,Woman,Agree
Italy,1.05,1.69,Woman,Agree
Netherlands,0.97,0.4,Man,Disagree
Australia,1.01,,Man,Disagree
Germany,1.01,2.23,Woman,Disagree
Spain,1.05,1.28,Man,Disagree
France,0.96,1.58,Woman,Neither agree nor disagree
United Kingdom,0.96,1.51,Woman,Neither agree nor disagree
France,1.1,1.81,Man,Disagree
Netherlands,1.04,0.43,Woman,Disagree
Poland,1.02,1.03,Woman,Disagree
Germany,0.99,2.21,Woman,Neither agree nor disagree
Belgium,0.97,0.26,Woman,Agree
USA,0.97,,Man,Strongly agree
Germany,1.11,2.46,Woman,Disagree
Australia,1,,Woman,Disagree
Australia,0.94,,Woman,Agree
Belgium,0.85,0.23,Woman,Neither agree nor disagree
Netherlands,1.01,0.42,Woman,Neither agree nor disagree
Italy,1.05,1.69,Woman,Disagree
Spain,1.02,1.25,Woman,Strongly disagree
Australia,0.97,,Woman,Neither agree nor disagree
Poland,0.95,0.95,Man,Agree
Spain,0.98,1.2,Man,Agree
Germany,0.87,1.93,Woman,Strongly disagree
Poland,1.02,1.03,Woman,Agree
Italy,0.98,1.59,Man,Strongly agree
Netherlands,0.95,0.4,Woman,Agree
Poland,0.96,0.97,Woman,Disagree
Romania,1,0.54,Man,Neither agree nor disagree
Netherlands,0.96,0.4,Woman,Neither agree nor disagree
Spain,1.07,1.3,Woman,Agree
Italy,0.94,1.52,Man,Strongly agree
Germany,1.1,2.45,Man,Strongly agree
Germany,0.98,2.17,Woman,Agree
United Kingdom,0.96,1.5,Man,Neither agree nor disagree
Australia,0.94,,Woman,Disagree
Poland,1.03,1.04,Man,Disagree
Spain,1.12,1.37,Man,Strongly disagree
Spain,0.97,1.18,Man,Strongly disagree
Belgium,0.97,0.26,Woman,Neither agree nor disagree
Australia,0.95,,Woman,Disagree
Poland,0.96,0.97,Man,Disagree
United Kingdom,0.88,1.38,Man,Agree
USA,0.99,,Woman,Strongly agree
Netherlands,0.98,0.41,Man,Neither agree nor disagree
United Kingdom,0.96,1.5,Man,Strongly disagree
United Kingdom,1.03,1.62,Man,Strongly disagree
United Kingdom,0.96,1.51,Woman,Strongly disagree
Netherlands,0.97,0.4,Man,Strongly agree
Germany,1,2.21,Man,Agree
Netherlands,1.04,0.44,Woman,Disagree
Spain,1.05,1.28,Woman,Disagree
Australia,0.99,,Man,Strongly disagree
Netherlands,0.97,0.4,Man,Neither agree nor disagree
Germany,0.92,2.04,Man,Agree
Italy,0.94,1.52,Man,Neither agree nor disagree
Italy,1,1.61,Woman,Agree
Italy,0.94,1.52,Man,Strongly disagree
France,0.93,1.54,Woman,Strongly agree
Italy,1,1.62,Man,Agree
Spain,1.03,1.26,Man,Strongly disagree
Belgium,1.1,0.3,Man,Neither agree nor disagree
Belgium,0.9,0.25,Woman,Strongly disagree
Germany,0.98,2.18,Man,Disagree
Poland,0.95,0.95,Man,Neither agree nor disagree
France,1.09,1.79,Woman,Agree
France,0.97,1.6,Man,Neither agree nor disagree
Australia,1.01,,Man,Disagree
Germany,1.03,2.29,Woman,Agree
Germany,0.93,2.07,Man,Disagree
Spain,0.99,1.21,Man,Neither agree nor disagree
France,0.99,1.63,Man,Neither agree nor disagree
United Kingdom,0.92,1.44,Man,Strongly disagree
USA,0.99,,Woman,Strongly disagree
United Kingdom,0.94,1.48,Man,Strongly agree
United Kingdom,1.12,1.76,Man,Strongly disagree
Italy,0.99,1.6,Man,Disagree
Italy,1.06,1.72,Woman,Neither agree nor disagree
United Kingdom,0.95,1.48,Woman,Neither agree nor disagree
Netherlands,1.04,0.44,Man,Agree
Belgium,1.04,0.28,Man,Strongly disagree
Spain,1.05,1.29,Man,Agree
Australia,0.95,,Woman,Agree
Poland,1.03,1.04,Man,Strongly disagree
Australia,1.04,,Woman,Neither agree nor disagree
Italy,1.01,1.64,Woman,Neither agree nor disagree
Spain,1.11,1.35,Man,Disagree
France,0.98,1.62,Woman,Neither agree nor disagree
Spain,1.03,1.26,Man,Disagree
Belgium,0.94,0.26,Woman,Strongly disagree
France,1,1.64,Woman,Strongly agree
Poland,1.02,1.03,Woman,Disagree
Belgium,1.02,0.28,Man,Agree
Poland,0.95,0.95,Man,Neither agree nor disagree
France,1,1.65,Woman,Strongly agree
Germany,0.99,2.19,Man,Disagree
Belgium,1.07,0.29,Woman,Neither agree nor disagree
Netherlands,1.05,0.44,Man,Agree
Belgium,1.02,0.28,Man,Agree
Germany,1.07,2.37,Woman,Strongly agree
Poland,1.03,1.04,Man,Neither agree nor disagree
Poland,0.96,0.97,Man,Strongly disagree
Netherlands,0.97,0.4,Man,Disagree
Germany,0.98,2.18,Man,Neither agree nor disagree
Spain,1.12,1.37,Man,Strongly disagree
United Kingdom,0.87,1.36,Man,Strongly disagree
Poland,0.96,0.97,Woman,Agree
France,0.98,1.61,Woman,Strongly agree
Italy,1,1.62,Man,Disagree
United Kingdom,0.94,1.48,Woman,Strongly disagree
Romania,0.97,0.53,Woman,Disagree
Australia,1.03,,Woman,Agree
Italy,1.01,1.64,Woman,Agree
Australia,0.97,,Man,Neither agree nor disagree
Poland,0.95,0.96,Woman,Disagree
Poland,0.96,0.97,Woman,Agree
Netherlands,0.96,0.4,Woman,Disagree
France,0.95,1.57,Woman,Agree
Poland,1.11,1.12,Man,Strongly agree
France,1.11,1.83,Woman,Agree
United Kingdom,0.94,1.48,Woman,Disagree
France,0.94,1.55,Woman,Neither agree nor disagree
Spain,0.97,1.18,Man,Disagree
Australia,1.22,,Man,Agree
Germany,0.99,2.2,Man,Strongly disagree
Australia,0.98,,Woman,Strongly agree
Spain,0.94,1.15,Woman,Disagree
Italy,0.99,1.61,Man,Agree
Germany,0.87,1.93,Man,Disagree
Belgium,1.02,0.28,Man,Agree
Belgium,1.01,0.28,Man,Strongly disagree
Belgium,0.94,0.26,Man,Agree
Belgium,1.14,0.31,Man,Disagree
Australia,0.95,,Woman,Neither agree nor disagree
USA,0.99,,Man,Strongly disagree
Belgium,1.02,0.28,Man,Strongly disagree
Belgium,0.96,0.26,Woman,Agree
Belgium,0.92,0.25,Woman,Neither agree nor disagree
Netherlands,0.96,0.4,Woman,Strongly disagree
Germany,0.96,2.13,Man,Strongly disagree
Romania,1,0.54,Woman,Neither agree nor disagree
United Kingdom,0.94,1.48,Woman,Agree
Germany,0.99,2.19,Woman,Agree
Germany,0.94,2.09,Woman,Strongly disagree
Spain,1.1,1.34,Man,Disagree
United Kingdom,0.92,1.44,Man,Strongly agree
Spain,1.02,1.25,Man,Strongly disagree
Australia,1.01,,Man,Disagree
Australia,0.99,,Man,Neither agree nor disagree
Belgium,1.01,0.28,Woman,Agree
Italy,1.02,1.64,Woman,Disagree
Poland,1.03,1.04,Woman,Neither agree nor disagree
Poland,1.03,1.04,Woman,Strongly agree
Austria,0.95,0.19,Man,Disagree
Italy,1.05,1.7,Woman,Agree
France,1.1,1.81,Man,Neither agree nor disagree
Italy,1,1.62,Man,Neither agree nor disagree
Poland,1.11,1.12,Man,Agree
Austria,0.95,0.19,Woman,Disagree
Netherlands,0.98,0.41,Woman,Disagree
Italy,0.99,1.61,Woman,Agree
United Kingdom,1.14,1.78,Woman,Strongly agree
Belgium,1.04,0.28,Man,Strongly disagree
Netherlands,0.95,0.4,Woman,Neither agree nor disagree
Italy,1,1.61,Woman,Neither agree nor disagree
United Kingdom,1.14,1.78,Woman,Disagree
Netherlands,0.94,0.4,Man,Agree
Spain,1.01,1.24,Man,Strongly agree
Germany,1.09,2.41,Woman,Disagree
Australia,0.94,,Woman,Strongly disagree
Australia,1.01,,Woman,Strongly disagree
United Kingdom,0.94,1.47,Man,Neither agree nor disagree
France,1.06,1.75,Woman,Strongly disagree
France,0.93,1.54,Woman,Strongly disagree
Romania,0.96,0.52,Woman,Agree
Spain,1.09,1.33,Woman,Neither agree nor disagree
Spain,0.99,1.21,Woman,Agree
Poland,1.02,1.03,Woman,Disagree
Italy,0.92,1.49,Man,Disagree
Netherlands,1.02,0.43,Man,Disagree
France,0.99,1.63,Man,Neither agree nor disagree
France,0.92,1.51,Man,Agree
United Kingdom,0.92,1.44,Man,Disagree
Australia,0.94,,Woman,Strongly disagree
United Kingdom,0.96,1.51,Woman,Agree
United Kingdom,0.96,1.51,Woman,Agree
Spain,1.02,1.24,Man,Disagree
Spain,0.98,1.19,Woman,Neither agree nor disagree
United Kingdom,0.98,1.53,Woman,Disagree
Poland,0.95,0.95,Man,Strongly disagree
France,0.97,1.59,Man,Strongly disagree
Australia,0.98,,Woman,Strongly disagree
France,0.94,1.55,Woman,Strongly agree
Spain,0.99,1.21,Woman,Agree
Germany,1,2.21,Woman,Strongly disagree
Austria,1.03,0.21,Woman,Agree
Belgium,1.01,0.27,Man,Disagree
Italy,1.02,1.64,Woman,Neither agree nor disagree
Poland,0.96,0.97,Woman,Disagree
Australia,0.95,,Woman,Neither agree nor disagree
Netherlands,1.02,0.43,Man,Agree
Italy,1.06,1.72,Man,Disagree
Germany,1,2.21,Man,Disagree
Netherlands,0.95,0.4,Woman,Neither agree nor disagree
Poland,0.96,0.97,Woman,Disagree
United Kingdom,1.02,1.6,Man,Neither agree nor disagree
Germany,1.03,2.28,Woman,Strongly agree
Belgium,1.01,0.28,Man,Strongly disagree
Poland,1.03,1.04,Man,Agree
Poland,1.02,1.03,Woman,Agree
Australia,1.01,,Man,Disagree
Australia,1.12,,Man,Agree
France,1.03,1.69,Woman,Agree
France,0.95,1.56,Woman,Disagree
Spain,0.97,1.19,Man,Strongly disagree
Spain,1.01,1.23,Woman,Strongly agree
France,0.97,1.59,Man,Neither agree nor disagree
Spain,0.94,1.15,Man,Agree
Italy,1.05,1.7,Woman,Disagree
United Kingdom,0.98,1.53,Woman,Neither agree nor disagree
Netherlands,0.99,0.41,Man,Neither agree nor disagree
Italy,1.05,1.7,Woman,Strongly disagree
Germany,0.98,2.18,Man,Neither agree nor disagree
France,0.93,1.54,Man,Disagree
Czech Republic,1,0.21,Man,Strongly disagree
Poland,1.11,1.12,Man,Disagree
Italy,0.94,1.52,Man,Disagree
Australia,1.01,,Man,Strongly disagree
Germany,1,2.21,Woman,Strongly disagree
France,1.07,1.76,Woman,Strongly agree
Netherlands,1.05,0.44,Man,Disagree
Germany,0.99,2.19,Man,Disagree
Netherlands,0.97,0.4,Man,Neither agree nor disagree
Germany,1.01,2.24,Woman,Disagree
Poland,0.96,0.97,Woman,Agree
Italy,1.03,1.66,Woman,Disagree
Germany,1.01,2.24,Man,Strongly disagree
Netherlands,1.03,0.43,Woman,Neither agree nor disagree
Belgium,1.02,0.28,Man,Strongly disagree
Netherlands,0.99,0.42,Man,Neither agree nor disagree
France,1.01,1.66,Man,Agree
Netherlands,0.97,0.4,Man,Neither agree nor disagree
France,0.95,1.56,Woman,Disagree
Australia,1,,Man,Disagree
Spain,1.12,1.37,Man,Agree
United Kingdom,0.96,1.5,Man,Neither agree nor disagree
Netherlands,0.99,0.41,Man,Disagree
Italy,1.01,1.64,Woman,Neither agree nor disagree
United Kingdom,0.93,1.45,Woman,Strongly disagree
USA,0.95,,Woman,Neither agree nor disagree
United Kingdom,0.94,1.48,Man,Neither agree nor disagree
Italy,1.05,1.7,Woman,Disagree
Belgium,1.01,0.28,Man,Neither agree nor disagree
Australia,0.98,,Woman,Neither agree nor disagree
United Kingdom,1.03,1.62,Woman,Strongly disagree
France,0.98,1.61,Woman,Strongly agree
Spain,0.97,1.18,Man,Disagree
Germany,1.08,2.4,Man,Strongly disagree
Spain,0.99,1.21,Man,Agree
Netherlands,0.99,0.42,Man,Neither agree nor disagree
Spain,0.93,1.14,Woman,Disagree
Italy,0.95,1.53,Man,Strongly disagree
Poland,0.96,0.97,Woman,Neither agree nor disagree
Australia,0.98,,Man,Disagree
Spain,1.1,1.34,Man,Agree
Belgium,0.96,0.26,Woman,Neither agree nor disagree
Italy,0.98,1.58,Woman,Strongly agree
Australia,0.97,,Woman,Agree
France,0.95,1.57,Woman,Neither agree nor disagree
Netherlands,1,0.42,Man,Agree
Netherlands,1.02,0.43,Man,Agree
USA,1.06,,Woman,Neither agree nor disagree
Australia,0.97,,Woman,Neither agree nor disagree
Belgium,1.09,0.3,Woman,Disagree
USA,0.99,,Woman,Strongly agree
France,1.03,1.69,Woman,Strongly agree
USA,0.99,,Man,Disagree
France,0.93,1.53,Woman,Neither agree nor disagree
Germany,1.01,2.25,Man,Strongly disagree
Poland,1.03,1.04,Man,Neither agree nor disagree
Germany,0.98,2.18,Man,Agree
Netherlands,0.98,0.41,Man,Strongly agree
Netherlands,0.97,0.41,Man,Agree
United Kingdom,0.94,1.48,Man,Strongly disagree
Germany,0.99,2.19,Man,Disagree
Spain,1.01,1.23,Woman,Strongly agree
Germany,0.97,2.16,Man,Neither agree nor disagree
Spain,1.12,1.37,Man,Strongly disagree
Belgium,1.01,0.27,Woman,Disagree
Spain,1.11,1.35,Man,Disagree
Poland,0.96,0.97,Woman,Neither agree nor disagree
Spain,0.98,1.19,Woman,Agree
Italy,0.99,1.61,Man,Strongly disagree
United Kingdom,1.13,1.77,Woman,Strongly disagree
Australia,0.94,,Woman,Neither agree nor disagree
Italy,1,1.62,Man,Agree
Poland,1.11,1.12,Man,Disagree
Italy,0.94,1.52,Man,Disagree
Australia,1.01,,Man,Strongly disagree
Germany,0.94,2.09,Woman,Strongly disagree
Australia,1.12,,Man,Strongly disagree
Netherlands,0.99,0.41,Man,Agree
United Kingdom,0.98,1.53,Woman,Agree
Poland,1.11,1.12,Man,Disagree
Romania,0.97,0.53,Woman,Disagree
Belgium,0.96,0.26,Woman,Neither agree nor disagree
Australia,1.03,,Man,Agree
France,1.05,1.73,Man,Agree
France,0.94,1.56,Woman,Neither agree nor disagree
Poland,1.03,1.04,Woman,Neither agree nor disagree
United Kingdom,0.93,1.46,Man,Agree
USA,0.97,,Man,Strongly agree
United Kingdom,0.94,1.47,Man,Strongly agree
France,0.94,1.56,Woman,Disagree
Spain,1.11,1.35,Man,Agree
France,0.94,1.55,Woman,Agree
Poland,1.02,1.03,Woman,Neither agree nor disagree
Italy,0.99,1.61,Woman,Strongly agree
USA,0.95,,Man,Strongly agree
Germany,1,2.21,Man,Strongly disagree
Poland,1.11,1.12,Man,Disagree
Germany,0.97,2.15,Woman,Strongly disagree
Australia,0.96,,Woman,Strongly disagree
United Kingdom,0.96,1.5,Man,Strongly disagree
USA,0.99,,Woman,Strongly disagree
Austria,1.04,0.21,Woman,Neither agree nor disagree
Netherlands,1.03,0.43,Woman,Neither agree nor disagree
Spain,0.95,1.16,Woman,Strongly disagree
USA,1.03,,Man,Strongly disagree
Netherlands,0.97,0.4,Man,Agree
France,0.99,1.64,Woman,Disagree
Belgium,1.02,0.28,Man,Neither agree nor disagree
Germany,0.99,2.21,Woman,Disagree
Belgium,0.95,0.26,Woman,Agree
Austria,1,0.2,Man,Strongly disagree
United Kingdom,1,1.56,Man,Strongly disagree
Poland,1.03,1.04,Woman,Agree
Italy,1,1.61,Man,Disagree
Italy,0.99,1.61,Man,Disagree
Poland,0.95,0.95,Man,Disagree
Netherlands,0.99,0.41,Man,Neither agree nor disagree
USA,0.99,,Woman,Disagree
Poland,1.11,1.12,Man,Agree
Italy,1,1.61,Man,Disagree
United Kingdom,0.98,1.54,Man,Disagree
Netherlands,0.99,0.41,Man,Disagree
Spain,1.12,1.37,Man,Agree
Spain,0.99,1.21,Man,Agree
France,0.96,1.58,Man,Agree
Belgium,1.04,0.28,Man,Neither agree nor disagree
Romania,1,0.54,Woman,Disagree
Germany,1,2.21,Man,Strongly disagree
Australia,0.98,,Man,Agree
Belgium,0.96,0.26,Woman,Disagree
Netherlands,1.01,0.42,Woman,Neither agree nor disagree
Spain,1.06,1.29,Woman,Agree
Australia,1.03,,Woman,Disagree
Germany,1.01,2.24,Woman,Strongly disagree
Germany,1.03,2.28,Woman,Strongly disagree
Netherlands,1.02,0.43,Man,Agree
France,0.98,1.61,Man,Strongly agree
USA,0.99,,Man,Disagree
USA,0.94,,Woman,Disagree
Poland,0.96,0.97,Man,Strongly disagree
France,0.92,1.51,Man,Disagree
Belgium,0.96,0.26,Man,Strongly agree
Italy,0.99,1.6,Man,Strongly agree
Australia,0.99,,Man,Disagree
Poland,0.96,0.97,Woman,Agree
Australia,0.98,,Woman,Disagree
France,0.92,1.51,Man,Disagree
Netherlands,0.97,0.41,Man,Disagree
Spain,1.03,1.26,Man,Neither agree nor disagree
Spain,0.94,1.14,Man,Neither agree nor disagree
Romania,1.14,0.62,Man,Agree
Australia,0.98,,Man,Neither agree nor disagree
Poland,1.02,1.03,Woman,Disagree
Poland,0.95,0.96,Woman,Strongly disagree
Italy,1.01,1.63,Man,Neither agree nor disagree
France,1.03,1.69,Woman,Disagree
United Kingdom,1,1.56,Man,Agree
Germany,1,2.21,Man,Agree
Romania,0.97,0.53,Woman,Disagree
Poland,0.95,0.95,Man,Agree
Australia,1.01,,Man,Disagree
Spain,1.12,1.37,Man,Strongly disagree
United Kingdom,0.96,1.51,Man,Disagree
Italy,0.94,1.52,Man,Disagree
France,0.97,1.61,Woman,Neither agree nor disagree
Spain,0.99,1.21,Man,Neither agree nor disagree
Belgium,1.01,0.27,Man,Neither agree nor disagree
France,0.96,1.58,Woman,Strongly agree
Germany,1.07,2.38,Woman,Agree
Germany,1,2.21,Man,Disagree
Australia,0.97,,Woman,Neither agree nor disagree
Netherlands,0.96,0.4,Woman,Agree
France,1.06,1.74,Woman,Neither agree nor disagree
Spain,0.97,1.18,Man,Disagree
Italy,0.94,1.52,Man,Agree
Belgium,0.99,0.27,Man,Disagree
Netherlands,1.03,0.43,Man,Disagree
Australia,1,,Man,Neither agree nor disagree
Germany,0.99,2.19,Woman,Neither agree nor disagree
Poland,1,1.01,Woman,Disagree
Germany,0.98,2.18,Man,Strongly disagree
Italy,1.02,1.64,Woman,Agree
Netherlands,1.04,0.44,Man,Agree
Netherlands,1.06,0.45,Woman,Disagree
United Kingdom,0.94,1.48,Woman,Disagree
Australia,1.09,,Man,Agree
